,id,contour
0,1,[]
1,2,"[[447,637],[574,639],[515,721],[377,718]]"
2,3,"[[411,539],[308,536],[386,495],[471,496]]"
3,4,"[[298,484],[203,483],[287,459],[378,461]]"
4,5,"[[1381,561],[1493,559],[1545,615],[1426,618]]"
5,6," [[993,591],[1108,590],[1116,640],[984,641]]"
6,7,"[[55,663],[0,658],[68,600],[168,604]]"
7,8,"[[924,767],[1080,767],[1087,878],[900,877]]"
8,9,"[[699,633],[840,634],[824,709],[672,708]]"
9,10,"[[445,312],[445,312],[445,312],[445,312]]"
10,11,"[[849,362],[791,361],[845,346],[925,348]]"
11,12,"[[607,420],[538,419],[586,402],[652,400]]"
12,13,"[[697,346],[624,342],[686,331],[755,334]]"
13,14,"[[1056,409],[1128,408],[1133,431],[1049,431]]"